"スポットBASE_ID","スポットLOG_ID","分類コード","ジャンル1","ジャンル2","ジャンル3","ジャンル4","ジャンル5","ジャンル6","スポット名","スポット名カナ","エリア","郵便番号","都道府県","市区町村","町域","丁目","番地","号","建物名","電話番号","FAX","URL","世界測地_緯度","世界測地_経度","営業時間","定休日","紹介メニュー1","紹介メニュー2","紹介メニュー3","紹介メニュー4","紹介メニュー5","紹介者1","紹介者2","紹介者3","紹介者4","紹介者5","スポット概要","紹介状況","駐車場","台数","座席数","予約","禁煙席","カード使用可","ビザ","マスターカード","アメックス","JCB","他","ヤフー地図サイトURL","ヤフートラベルURL","楽天トラベルURL","じゃらんURL","番組LOG_ID","サービスID","放送局","番組開始日時24","番組終了日時24","番組開始日時28","番組終了日時28","番組名","番組ジャンル","シーンID","シーン開始日時24","シーン終了日時24","シーン開始日時28","シーン終了日時28","シーン放送時間","分類","ヘッドライン","スポット露出開始時間24","スポット露出開始時間28","スポットLOG作成日時","スポットLOG更新日時","有効_無効フラグ"
"10020139","4311746","1612","店舗","デパート・スーパー","専門店","","","","ＩＭＡＤＥＹＡ・ＧＩＮＺＡ","イマデヤギンザ","関東","1040061","東京都","中央区","銀座","6","10","1","ＧＩＮＺＡ・ＳＩＸ地下2階","0362645537","","https://imadeya.co.jp/","35.669589","139.763986","10:30〜20:30、角打ち（飲食）14:00〜19:30","","","","","","","","","","","","日本酒、ワイン、クラフト焼酎、作家物の酒器などを取り揃える酒屋です。店内には角打ちカウンターも設置しています。","日本の「伝統的酒造り」が無形文化遺産に登録される事が決定したという話題の中で紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.66962&lon=139.76397&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249326","2024-12-06 07:13:49","2024-12-06 07:16:59","2024-12-06 07:13:49","2024-12-06 07:16:59","00:03:10","文化・芸能","＜ＺＩＰ！ＮＥＷＳ７＞日本の「伝統的酒造り」・ユネスコ無形文化遺産に登録決定","2024-12-06 07:15:34","2024-12-06 07:15:34","2024/12/06 07:16:49","2024/12/06 09:02:57","0"
"10157117","4311750","1586","店舗","美容・健康","美容院","","","","Ｈａｉｒ・Ｓａｌｏｎ・ＩＷＡＳＡＫＩ・東京自由が丘店","ヘアーサロンイワサキトウキョウジユウガオカテン","関東","1520035","東京都","目黒区","自由が丘","2","14","5","舘山ビル2階","0337249280","","https://hkbn.co.jp/","35.606983","139.666552","09:00〜18:30","無し","「ヘアカット」（690円）","","","","","福山絢水","","","","","美容室です。","特化型美容室のサービスについて特集した中で紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.60701&lon=139.66653&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249550","2024-12-06 07:24:26","2024-12-06 07:33:15","2024-12-06 07:24:26","2024-12-06 07:33:15","00:08:49","暮らし","＜ＺＩＰ！特集＞不況でも人気！特化型美容室","2024-12-06 07:26:26","2024-12-06 07:26:26","2024/12/06 07:27:38","2024/12/06 10:54:45","0"
"10191722","4311753","1586","店舗","美容・健康","美容院","","","","ｆｕｆｕ・セブンパークアリオ柏店","フフセブンパークアリオカシワテン","関東","2770922","千葉県","柏市","大島田","1","6","1","セブンパークアリオ2階","","","https://fufucolor.com/","35.833937","140.012569","10:00〜18:30","なし（施設休業日に準ずる）","","","","","","","","","","","ヘアカラー専門店です。","特化型美容室のサービスについて特集した中で紹介されました。","","","","0","","","","","","","","https://map.yahoo.co.jp/place?lat=35.83395&lon=140.01257&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249550","2024-12-06 07:24:26","2024-12-06 07:33:15","2024-12-06 07:24:26","2024-12-06 07:33:15","00:08:49","暮らし","＜ＺＩＰ！特集＞不況でも人気！特化型美容室","2024-12-06 07:30:19","2024-12-06 07:30:19","2024/12/06 07:35:05","2024/12/06 10:54:46","0"
"10132793","4311755","1586","店舗","美容・健康","美容院","","","","Ｊｅｔｓｅｔ・六本木ヒルズ","ジェットセットロッポンギヒルズ","関東","1060032","東京都","港区","六本木","6","4","1","Ｈｉｌｌｓ・Ｍｅｔｒｏ・Ｈａｔ／Ｈｏｌｌｙｗｏｏｄ・Ｐｌａｚａ・地下1階","0358431464","","https://jetsetdrybar.com/","35.661312","139.7301","11:00〜20:00","","","","","","","","","","","","シャンプー＆ブロー専門店です。","特化型美容室のサービスについて特集した中で紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.66134&lon=139.73010&zoom=18&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249550","2024-12-06 07:24:26","2024-12-06 07:33:15","2024-12-06 07:24:26","2024-12-06 07:33:15","00:08:49","暮らし","＜ＺＩＰ！特集＞不況でも人気！特化型美容室","2024-12-06 07:30:24","2024-12-06 07:30:24","2024/12/06 07:36:02","2024/12/06 10:54:47","0"
"10191724","4311761","1586","店舗","美容・健康","美容院","","","","ｓｉｎｓ","シンズ","関東","1040061","東京都","中央区","銀座","6","13","9","ＧＩＲＡＣ・ＧＩＮＺＡ・10階","0362641104","","https://www.sinsginza.com/","35.668617","139.764597","","","","","","","","浅野杏奈","","","","","縮毛矯正専門の美容室です。","特化型美容室のサービスについて特集した中で紹介されました。","","","","0","","","","","","","","https://map.yahoo.co.jp/place?lat=35.66864&lon=139.76460&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249550","2024-12-06 07:24:26","2024-12-06 07:33:15","2024-12-06 07:24:26","2024-12-06 07:33:15","00:08:49","暮らし","＜ＺＩＰ！特集＞不況でも人気！特化型美容室","2024-12-06 07:30:42","2024-12-06 07:30:42","2024/12/06 07:39:35","2024/12/06 10:54:48","0"
"10089890","4311762","1547","店舗","飲食店","カフェ、スイーツ","カフェ","","","ｗｈｙｔｅ","ホワイト","関東","1500001","東京都","渋谷区","神宮前","3","27","7","","0368763976","","https://whyte.tokyo/","35.670977","139.708935","08:00〜20:00","","","","","","","","","","","","美容サロンとサンドイッチカフェが一緒になったお店です。","特化型美容室のサービスについて特集した中で紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.67101&lon=139.70893&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249718","2024-12-06 07:35:50","2024-12-06 07:38:24","2024-12-06 07:35:50","2024-12-06 07:38:24","00:02:34","暮らし","＜ＺＩＰ！特集＞不況でも人気！特化型美容室","2024-12-06 07:36:05","2024-12-06 07:36:05","2024/12/06 07:41:24","2024/12/06 10:54:49","0"
"10191725","4311765","1586","店舗","美容・健康","美容院","","","","Ｂｕｌｌｓｏｎ","ブルゾン","関東","1080023","東京都","港区","芝浦","3","12","18","バウパレス5階","","","https://store.bullson.jp/","35.642786","139.749238","ドッグラン11:00〜19:00、美容室11:00〜20:00","月曜日","","","","","","","","","","","ヘアサロンとドッグランの複合施設です。美容室は日祝日11:00〜19:00の営業です。","特化型美容室のサービスについて特集した中で紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.64280&lon=139.74924&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249718","2024-12-06 07:35:50","2024-12-06 07:38:24","2024-12-06 07:35:50","2024-12-06 07:38:24","00:02:34","暮らし","＜ＺＩＰ！特集＞不況でも人気！特化型美容室","2024-12-06 07:37:22","2024-12-06 07:37:22","2024/12/06 07:46:51","2024/12/06 10:54:50","0"
"1342601","4311766","1643","店舗","レジャー","アウトドア・スポーツ施設","スキー・スノーボード場","","","大倉山ジャンプ競技場","オオクラヤマジャンプキョウギジョウ","北海道","0640958","北海道","札幌市中央区","宮の森","","1274","","","0116418585","0116418586","https://okurayama-jump.jp/","43.051104","141.29063","","","","","","","","","","","","","スキージャンプの競技場です。展望施設や札幌オリンピックミュージアムなどがあります。","北海道の旬なニュースについて特集した中で紹介されました。【期間限定】「大倉山冬花火2024・ｓｕｐｐｏｒｔｅｄ・ｂｙ・武ダＧＥＡＤ」12月7日開催予定","1","113","","","","","","","","","","https://map.yahoo.co.jp/place?lat=43.05110&lon=141.29065&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249742","2024-12-06 07:38:24","2024-12-06 07:40:58","2024-12-06 07:38:24","2024-12-06 07:40:58","00:02:34","暮らし","＜まいあさ生中継ＮＯＷニッポン＞北海道・冬の味覚とイベント","2024-12-06 07:40:04","2024-12-06 07:40:04","2024/12/06 07:47:40","2024/12/06 10:54:51","0"
"1382519","4311774","1549","店舗","飲食店","カフェ、スイーツ","スイーツ、甘味","","","パティスリー・モンシェール・堂島本店","パティスリーモンシェールドウジマホンテン","近畿","5300004","大阪府","大阪市北区","堂島浜","2","1","2","","0661368003","","https://www.mon-cher.com/","34.694841","135.495441","10:00〜19:00、土日祝10:00〜18:00","年中無休","","","","","","","","","","","ロールケーキなどのスイーツを製造・販売している洋菓子店です。","スイーツおせちについて特集した中で紹介されました。","0","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=34.69484&lon=135.49545&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249903","2024-12-06 07:44:38","2024-12-06 07:49:47","2024-12-06 07:44:38","2024-12-06 07:49:47","00:05:09","暮らし","＜キテルネ！＞注目のスイーツおせち","2024-12-06 07:46:34","2024-12-06 07:46:34","2024/12/06 07:59:01","2024/12/06 10:54:52","0"
"1180685","4311778","1603","店舗","アミューズメント","ミュージアム","","","","燕市産業史料館","ツバメシサンギョウシリョウカン","北陸・信越","9591263","新潟県","燕市","大曲","","4330","1","","0256637666","0256637669","http://tsubame-shiryoukan.jp/","37.65264","138.919326","09:00〜16:00","月曜日（祝日の場合は翌日）、祝日の翌日、年末年始","","","","","","","","","","","燕市の金属加工産業発展の歴史を紹介する史料館です。","小さなお化け「おどろん」が日本中を飛び回り、見たことのない映像を取り上げるコーナーで紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=37.65265&lon=138.91934&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249907","2024-12-06 07:49:47","2024-12-06 07:51:19","2024-12-06 07:49:47","2024-12-06 07:51:19","00:01:32","暮らし","＜おどろきフライト！ＧＯ！ＧＯ！おどろん！＞新潟県燕市の旅","2024-12-06 07:50:06","2024-12-06 07:50:06","2024/12/06 08:10:33","2024/12/06 10:54:53","0"
"10060486","4311781","1542","店舗","飲食店","アジア・エスニック・無国籍","韓国、朝鮮料理","","","新大久保・チーズタッカルビ専門店・ホンチュンチョン","シンオオクボチーズタッカルビセンモンテンホンチュンチョン","関東","1690072","東京都","新宿区","大久保","1","15","17","サンハイム大久保104号室","0362056526","","","35.700974","139.703462","11:00〜22:00","","","","","","","","","","","","チーズタッカルビ専門店です。","家庭のホットプレートレシピについて特集した中で紹介されました。","0","","38","0","","1","1","1","1","1","1","https://map.yahoo.co.jp/place?lat=35.70101&lon=139.70344&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249136","2024-12-06 08:23:14","2024-12-06 08:34:06","2024-12-06 08:23:14","2024-12-06 08:34:06","00:10:52","暮らし","＜街録ＺＩＰ！リアルレビュー＞熱々シェア・我が家のホットプレート料理","2024-12-06 08:25:03","2024-12-06 08:25:03","2024/12/06 08:27:16","2024/12/06 09:03:25","0"
"10044740","4311783","1680","店舗","レジャー","観光","その他","","","鳥取砂丘会館","トットリサキュウカイカン","中国","6890105","鳥取県","鳥取市","福部町湯山","","2164","","","0857226835","0857278090","https://sakyu.gr.jp/","35.543756","134.237395","売店09:00〜17:00、レストラン11:00〜14:00","","","","","","","池田航","伊東楽","","","","鳥取砂丘が目の前に広がるドライブインです。","料理好きのタレント2人がワゴンで各地を旅するコーナーで中継先として紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.54376&lon=134.23744&zoom=17&maptype=basic","","","","33529620","0410","NTV","2024-12-06 05:50:00","2024-12-06 09:00:00","2024-12-06 05:50:00","2024-12-06 09:00:00","ＺＩＰ！","情報/ワイドショー B","465249325","2024-12-06 08:42:45","2024-12-06 08:44:44","2024-12-06 08:42:45","2024-12-06 08:44:44","00:01:59","暮らし","＜旅するエプロン＞ｉｎ鳥取県","2024-12-06 08:43:12","2024-12-06 08:43:12","2024/12/06 08:44:13","2024/12/06 09:03:09","0"
"10143411","4311833","1604","店舗","アミューズメント","動物園・水族館","","","","動物たちが暮らす森・Ａｎｉｍｅａｌ・お台場店","ドウブツタチガクラスモリアニミルオダイバテン","関東","1350091","東京都","港区","台場","1","6","1","デックス東京ビーチ・シーサイドモール5階","0364571215","","https://animeal.jp/","35.629288","139.775959","12:00〜18:15（休日11:00〜）","木曜日","「料金：45分」（1980円※別途ドリンク代）","「料金：90分」（2530円※別途ドリンク代）","","","","御手洗菜々（ＴＢＳアナウンサー）","","","","","「森の中」をコンセプトとした、動物とふれあえる体験型施設です。","中継先として紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.62930&lon=139.77594&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465251236","2024-12-06 10:25:24","2024-12-06 10:28:38","2024-12-06 10:25:24","2024-12-06 10:28:38","00:03:14","暮らし","＜トレンドの現場＞東京お台場「アニミルお台場店」","2024-12-06 10:25:34","2024-12-06 10:25:34","2024/12/06 10:46:46","2024/12/06 11:53:45","0"
"10042899","4311840","1691","店舗","レジャー","アート・公園","イベント会場","","","日本青年館ホール","ニッポンセイネンカンホール","関東","1600013","東京都","新宿区","霞ケ丘町","","4","1","","0364475660","0364475661","https://seinenkan-hall.com/","35.674255","139.71549","","","","","","","","","","","","","2017年7月にオープンした多目的ホールです。","【期間限定】「ヴェニスの商人」12月22日まで公演中","0","","","0","","","","","","","","https://map.yahoo.co.jp/place?lat=35.67427&lon=139.71549&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465252159","2024-12-06 10:55:44","2024-12-06 10:56:27","2024-12-06 10:55:44","2024-12-06 10:56:27","00:00:43","文化・芸能","舞台「ヴェニスの商人」告知","2024-12-06 10:56:24","2024-12-06 10:56:24","2024/12/06 11:06:13","2024/12/06 13:14:44","0"
"1393933","4311841","1691","店舗","レジャー","アート・公園","イベント会場","","","京都劇場","キョウトゲキジョウ","近畿","6008212","京都府","京都市下京区","塩小路町","","901","","京都駅ビル内","0753412360","","https://www.kyoto-gekijo.com/","34.985898","135.760627","","","","","","","","","","","","","京都駅構内にある劇場です。","【期間限定】「ヴェニスの商人」12月26日〜29日まで公演余栄","0","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=34.98591&lon=135.76066&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465252159","2024-12-06 10:55:44","2024-12-06 10:56:27","2024-12-06 10:55:44","2024-12-06 10:56:27","00:00:43","文化・芸能","舞台「ヴェニスの商人」告知","2024-12-06 10:56:24","2024-12-06 10:56:24","2024/12/06 11:06:40","2024/12/06 13:14:48","0"
"1124734","4311855","1693","店舗","その他","その他","","","","青森空港","アオモリクウコウ","東北","0300155","青森県","青森市","大谷小谷","","1","5","","0177392000","0177392830","https://www.aomori-airport.co.jp/","40.738258","140.689064","","","","","","","","","","","","","昭和39年（1964年）に開港した本州最北端の空港です。","中継映像で空港の様子が紹介されました。","1","1530","","","","","","","","","","https://map.yahoo.co.jp/place?lat=40.73826&lon=140.68907&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465251988","2024-12-06 12:00:07","2024-12-06 12:12:52","2024-12-06 12:00:07","2024-12-06 12:12:52","00:12:45","トピックス","強烈寒波襲来・７日から気温急降下か・大雪の予報も","2024-12-06 12:02:00","2024-12-06 12:02:00","2024/12/06 12:08:33","2024/12/06 13:14:53","0"
"10166923","4311878","1612","店舗","デパート・スーパー","専門店","","","","魚河岸・中與商店・武蔵小山店","ウオガシナカヨショウテンムサシコヤマテン","関東","1420062","東京都","品川区","小山","3","23","4","","0364267065","","https://www.nakajimasuisan.co.jp/","35.618566","139.705437","","","","","","","","","","","","","鮮魚店です。","ブリがお得という話題で紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.61858&lon=139.70543&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465252174","2024-12-06 12:22:36","2024-12-06 12:33:13","2024-12-06 12:22:36","2024-12-06 12:33:13","00:10:37","暮らし","ブリ＆クロマグロ・豊漁と漁獲枠拡大・タコは値段高騰","2024-12-06 12:23:14","2024-12-06 12:23:14","2024/12/06 12:36:47","2024/12/06 13:14:59","0"
"1373823","4311880","1612","店舗","デパート・スーパー","専門店","","","","斉藤水産","サイトウスイサン","関東","1040045","東京都","中央区","築地","4","10","5","築地場外市場中通り","0335412314","0335412315","http://www.tsukiji-saito.com/","35.665506","139.770652","06:00〜17:00","無休","","","","","","","","","","","まぐろなど様々な魚貝類を販売しているお店です。","クロマグロの漁獲枠が拡大するという話題で紹介されました。","","","","","","1","1","1","1","1","1","https://map.yahoo.co.jp/place?lat=35.6655353&lon=139.7706343&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465252174","2024-12-06 12:22:36","2024-12-06 12:33:13","2024-12-06 12:22:36","2024-12-06 12:33:13","00:10:37","暮らし","ブリ＆クロマグロ・豊漁と漁獲枠拡大・タコは値段高騰","2024-12-06 12:29:27","2024-12-06 12:29:27","2024/12/06 12:40:36","2024/12/06 13:15:01","0"
"1358955","4311888","1551","店舗","飲食店","居酒屋、バー","居酒屋","","","おさかな本舗・たいこ茶屋・本店","オサカナホンポタイコチャヤホンテン","関東","1030002","東京都","中央区","日本橋馬喰町","2","3","2","セントピアビル地下1階","0336398670","0336390042","https://www.taikochaya.jp/","35.69542","139.782261","11:00〜14:30、17:00〜21:30（金土〜21:30）","日曜日、別途臨時休業あり","「まぐろ大中赤てんこ盛り」（1980円）","","","","","","","","","","新鮮な海の幸が味わえる海鮮居酒屋です。","クロマグロの漁獲枠が拡大するという話題で紹介されました。","","","112","0","","","","","","","","https://map.yahoo.co.jp/place?lat=35.69545&lon=139.78224&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465252269","2024-12-06 12:34:58","2024-12-06 12:50:44","2024-12-06 12:34:58","2024-12-06 12:50:44","00:15:46","暮らし","ブリ＆クロマグロ・豊漁と漁獲枠拡大・タコは値段高騰","2024-12-06 12:41:41","2024-12-06 12:41:41","2024/12/06 12:58:27","2024/12/06 13:15:07","0"
"10108036","4311894","1514","店舗","飲食店","和食","海鮮、魚介","","","能登美・別館","ノトミベッカン","関東","1130033","東京都","文京区","本郷","1","4","1","全水道会館1階","0358051808","","http://www.rendez-vous.co.jp/","35.703169","139.75554","11:00〜14:30、15:00〜翌05:00（日祝〜23:30）","月・火曜日のランチ、1月5日","「能登産天然ぶりしゃぶ」（440円／2人前）","「魚の焼肉！！能登天然ぶり」（3960／2人前）","","","","","","","","","海鮮居酒屋です。ランチはらーめん店として営業しています。","ブリがお得という話題で紹介されました。","","","","0","","1","1","1","","","1","https://map.yahoo.co.jp/place?lat=35.70318&lon=139.75553&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465252428","2024-12-06 12:52:14","2024-12-06 13:03:22","2024-12-06 12:52:14","2024-12-06 13:03:22","00:11:08","暮らし","ブリ＆クロマグロ・豊漁と漁獲枠拡大・タコは値段高騰","2024-12-06 12:56:27","2024-12-06 12:56:27","2024/12/06 13:03:15","2024/12/06 13:15:13","0"
"1004051","4311904","1693","店舗","その他","その他","","","","ＴＢＳ放送センター","ティービーエスホウソウセンター","関東","1070052","東京都","港区","赤坂","5","3","6","","0337461111","","https://www.tbs.co.jp/","35.671616","139.734599","","","","","","","","","","","","","テレビ局の本社です。","出前授業が行われる話題で紹介されました。","","","","","","","","","","","","https://map.yahoo.co.jp/place?lat=35.67163&lon=139.73458&zoom=17&maptype=basic","","","","33528683","0418","TBS","2024-12-06 10:25:00","2024-12-06 13:55:00","2024-12-06 10:25:00","2024-12-06 13:55:00","ひるおび","情報/ワイドショー B","465252933","2024-12-06 13:53:30","2024-12-06 13:54:24","2024-12-06 13:53:30","2024-12-06 13:54:24","00:00:54","トピックス","番組からのお知らせ","2024-12-06 13:53:37","2024-12-06 13:53:37","2024/12/06 13:58:44","2024/12/06 15:11:09","0"
